id;name;cnpj;language
1;Isle;benchmark;ENGLISH
2;Global Borders;backing interface;PORTUGUESE
3;Enterprise-wide Representative;teal reboot invoice;ENGLISH
4;Berkshire optical Integrated;Steel Corporate enable;PORTUGUESE
5;Configuration;Greece Australian;ENGLISH
6;invoice card Buckinghamshire;Customer Tuna architecture;PORTUGUESE
7;Russian CSS;Computer Hat;PORTUGUESE
8;Graphic Account;viral;PORTUGUESE
9;Grass-roots;Shoes Investment Extensions;PORTUGUESE
10;Re-contextualized;leverage magnetic SCSI;ENGLISH
